device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,ta_min,ta_max,ta_mean,ta_std,ta_q1,ta_q3,ws1_min,ws1_max,ws1_mean,ws1_std,ws1_q1,ws1_q3,ws10_min,ws10_max,ws10_mean,ws10_std,ws10_q1,ws10_q3,hm_min,hm_max,hm_mean,hm_std,hm_q1,hm_q3,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M6028,2024-11-28 17:21:43,2024-12-03 13:11:43,115.83,4.00,-3.00,16.90,5.12,17.17,51.00,81.00,60.91,5.14,0.90,1.44,1.01,0.04,2.30,7.90,-6.10,16.30,58.00,64.00,49.00,73.00,1.00,1.00,1.00,1.00,-2.80,15.70,4.41,4.21,2.10,8.10,0.00,8.10,2.40,1.54,1.40,2.90,0.10,7.60,2.30,1.19,1.40,2.90,29.30,95.00,76.67,11.53,69.20,86.60,8,25,172,0
VC6M6029,2024-11-28 14:27:52,2024-12-03 13:17:52,118.83,4.00,3.50,17.10,8.73,17.08,56.00,84.00,64.03,7.24,0.90,1.66,1.03,0.07,5.10,12.43,-5.89,23.41,60.00,65.00,52.50,72.50,1.02,1.04,0.99,1.07,-2.10,15.70,6.06,5.71,1.20,10.48,0.00,9.50,3.01,2.60,0.70,4.40,0.10,9.80,2.81,2.16,1.00,3.40,29.30,87.80,69.02,11.28,63.00,75.80,0,28,53,1
VC6M602B,2024-12-07 17:20:27,2024-12-10 16:40:27,71.33,2.00,-4.60,8.80,1.57,12.46,48.00,61.00,55.27,3.07,1.00,1.41,1.02,0.04,-1.60,4.30,-10.45,13.15,53.00,58.00,45.50,65.50,1.01,1.02,1.00,1.04,-6.90,6.50,-0.06,3.13,-2.40,1.80,0.00,3.80,1.18,0.83,0.50,1.60,0.00,3.70,1.12,0.74,0.50,1.50,-99.20,91.60,57.16,17.67,45.60,70.80,0,0,12,0
VC6M602C,2024-12-02 13:27:12,2024-12-03 13:17:12,23.83,0.00,1.20,15.10,6.80,14.82,58.00,69.00,63.57,2.01,0.93,1.64,0.97,0.09,3.65,10.15,-6.10,19.90,62.00,65.00,57.50,69.50,0.94,0.99,0.86,1.06,-2.10,15.70,3.82,5.02,-0.80,7.90,0.00,8.10,1.90,1.79,0.40,2.90,0.10,5.30,1.92,1.43,0.60,2.98,29.30,87.80,69.33,13.23,61.28,79.20,0,0,8,1
VC6M602D,2024-12-10 02:18:11,2024-12-11 11:18:11,33.00,1.00,0.80,12.00,10.30,4.78,49.00,63.00,50.13,2.77,1.00,1.31,1.10,0.04,9.80,11.53,7.21,14.11,49.00,50.00,47.50,51.50,1.10,1.10,1.10,1.10,-2.20,4.70,2.96,1.47,1.90,4.20,0.00,4.10,1.80,0.92,1.20,2.40,0.00,3.00,1.86,0.66,1.40,2.30,-99.20,94.00,56.42,16.78,54.13,59.20,5,5,14,0
VC6M602E,2024-12-11 02:14:37,2024-12-13 11:04:37,56.83,2.00,1.70,9.50,8.43,3.10,44.00,68.00,46.59,4.35,1.10,1.20,1.11,0.03,8.30,9.40,6.65,11.05,45.00,46.00,43.50,47.50,1.10,1.10,1.10,1.10,-0.40,3.30,0.32,0.71,-0.10,0.50,0.50,2.90,1.61,0.78,1.00,2.50,0.20,3.80,1.62,0.87,1.30,2.20,32.80,83.00,45.42,7.42,43.10,47.40,6,6,10,0
VC6M602F,2024-11-28 15:23:05,2024-12-03 13:13:05,117.83,4.00,3.60,17.30,8.73,17.29,57.00,84.00,64.59,7.78,0.92,2.75,1.03,0.14,4.90,12.45,-6.42,23.78,59.00,66.00,48.50,76.50,1.00,1.05,0.92,1.12,-2.10,15.70,6.12,5.74,1.13,10.48,0.00,8.10,2.55,2.16,0.70,3.45,0.10,9.10,2.41,1.72,0.98,3.10,34.50,87.80,69.26,11.61,60.70,76.20,0,25,8,1
VC6M6030,2024-12-11 02:24:10,2024-12-13 11:04:10,56.67,2.00,1.70,9.40,7.06,6.31,48.00,64.00,52.28,5.31,1.10,1.50,1.12,0.06,7.10,9.10,4.10,12.10,49.00,51.00,46.00,54.00,1.10,1.10,1.10,1.10,-0.70,2.70,1.03,0.76,0.60,1.40,0.00,3.30,1.25,0.81,0.80,2.00,0.00,2.40,1.16,0.64,0.80,1.70,-99.20,78.70,50.08,16.05,46.10,56.50,23,23,19,0
VC6M6032,2024-12-02 13:31:57,2024-12-03 13:21:57,23.83,0.00,0.50,15.30,6.30,17.22,58.00,70.00,65.40,2.26,0.93,1.40,0.96,0.06,2.80,9.73,-7.59,20.11,65.00,67.00,62.00,70.00,0.94,0.97,0.89,1.02,-2.10,15.70,3.82,5.08,-0.85,7.90,0.00,8.10,1.90,1.88,0.38,2.95,0.10,5.30,1.90,1.48,0.60,3.00,29.30,87.80,70.27,12.79,63.00,79.90,0,9,6,0
VC6M6033,2024-11-18 11:33:25,2024-12-22 03:23:25,807.83,33.00,-4.70,24.70,2.93,25.23,26.00,95.00,57.71,12.72,0.89,2.18,0.99,0.07,-0.50,4.50,-8.00,12.00,49.00,63.00,28.00,84.00,0.93,1.03,0.78,1.18,-9.30,9.90,0.06,3.62,-2.40,2.00,-99.50,7.70,1.64,3.04,0.90,2.40,0.00,4.40,1.70,0.95,1.10,2.20,-99.20,94.40,64.79,17.86,51.00,78.20,69,82,19,1
