device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,item_shock,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M601A,2024-12-03 02:50:35,2024-12-05 00:30:35,45.67,1.00,-0.30,5.30,1.25,1.84,56.00,63.00,61.24,1.70,1.10,1.40,1.12,0.06,0.15,1.88,-2.44,4.46,61.00,62.00,59.50,63.50,1.10,1.10,1.10,1.10,0,4,7,7,0
VC6M601C,2024-12-03 11:03:35,2024-12-06 00:53:35,61.83,2.00,2.70,8.70,6.93,2.36,44.00,63.00,56.53,5.34,1.00,1.32,1.03,0.08,6.05,8.15,2.90,11.30,57.00,60.00,52.50,64.50,1.00,1.00,1.00,1.00,0,2,11,10,0
VC6M601C,2024-12-03 11:03:35,2024-12-06 00:53:35,61.83,2.00,2.70,8.70,6.93,2.36,44.00,63.00,56.53,5.34,1.00,1.32,1.03,0.08,6.05,8.15,2.90,11.30,57.00,60.00,52.50,64.50,1.00,1.00,1.00,1.00,0,2,11,10,0
VC6M601D,2024-11-28 15:23:36,2024-12-03 13:13:36,117.83,4.00,-2.70,16.70,5.28,17.15,52.00,84.00,60.00,5.20,0.94,1.84,1.03,0.07,2.50,8.10,-5.90,16.50,57.00,62.00,49.50,69.50,1.00,1.09,0.86,1.23,0,5,33,7,1
VC6M601D,2024-11-28 15:23:36,2024-12-03 13:13:36,117.83,4.00,-2.70,16.70,5.28,17.15,52.00,84.00,60.00,5.20,0.94,1.84,1.03,0.07,2.50,8.10,-5.90,16.50,57.00,62.00,49.50,69.50,1.00,1.09,0.86,1.23,1,5,33,7,1
VC6M601D,2024-11-28 15:23:36,2024-12-03 13:13:36,117.83,4.00,-2.70,16.70,5.28,17.15,52.00,84.00,60.00,5.20,0.94,1.84,1.03,0.07,2.50,8.10,-5.90,16.50,57.00,62.00,49.50,69.50,1.00,1.09,0.86,1.23,1,5,33,7,1
VC6M601D,2024-11-28 15:23:36,2024-12-03 13:13:36,117.83,4.00,-2.70,16.70,5.28,17.15,52.00,84.00,60.00,5.20,0.94,1.84,1.03,0.07,2.50,8.10,-5.90,16.50,57.00,62.00,49.50,69.50,1.00,1.09,0.86,1.23,0,5,33,7,1
VC6M601F,2024-12-14 09:22:34,2024-12-17 03:52:34,66.50,2.00,-0.50,17.70,3.27,8.07,36.00,62.00,55.40,4.77,0.91,1.77,1.01,0.08,1.50,4.30,-2.70,8.50,53.00,59.00,44.00,68.00,0.99,0.99,0.99,0.99,0,22,11,82,1
VC6M601F,2024-12-14 09:22:34,2024-12-17 03:52:34,66.50,2.00,-0.50,17.70,3.27,8.07,36.00,62.00,55.40,4.77,0.91,1.77,1.01,0.08,1.50,4.30,-2.70,8.50,53.00,59.00,44.00,68.00,0.99,0.99,0.99,0.99,1,22,11,82,1
VC6M601F,2024-12-14 09:22:34,2024-12-17 03:52:34,66.50,2.00,-0.50,17.70,3.27,8.07,36.00,62.00,55.40,4.77,0.91,1.77,1.01,0.08,1.50,4.30,-2.70,8.50,53.00,59.00,44.00,68.00,0.99,0.99,0.99,0.99,0,22,11,82,1
