device_datetime,device_serial,transport_uuid,influx_insert_time,temperature,humidity,mkt,lat,lon,lbstime,shock,battery,src,exp,acc,accx,accy,accz,tiltx,tilty,tiltz,motion,ap,dw_inserted_at,dw_updated_at
2024-12-07 11:48:00,VC6M6019,,2024-12-07 11:48:39.725,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:48:49,VC6M6019,,2024-12-07 11:48:39.724,1.1,47.0,1.4597E-16,,,1733571660000,0.0,,,0.0,1.0,-0.2,-1.0,0.0,-3.3,-86.7,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 11:58:49,VC6M6019,,2024-12-07 12:01:28.751,0.8,47.0,1.4026E-16,,,1733572080000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.5,-86.5,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:01:00,VC6M6019,,2024-12-07 12:01:28.756,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:08:00,VC6M6019,,2024-12-07 12:08:39.699,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:08:49,VC6M6019,,2024-12-07 12:08:38.702,0.9,47.0,1.4214E-16,,,1733572860000,0.0,,,0.0,1.0,-0.2,-1.0,0.0,-3.3,-86.7,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:18:49,VC6M6019,,2024-12-07 12:21:26.627,0.7,48.0,1.3840E-16,,,1733573280000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.5,-86.5,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:21:00,VC6M6019,,2024-12-07 12:21:26.628,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:28:00,VC6M6019,,2024-12-07 12:28:40.085,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:28:49,VC6M6019,,2024-12-07 12:28:40.084,0.7,47.0,1.3840E-16,,,1733574060000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.0,-86.9,0.4,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:38:49,VC6M6019,,2024-12-07 12:41:28.805,0.5,48.0,1.3476E-16,,,1733574480000,0.0,,,0.0,1.0,-0.1,-1.0,0.0,-3.2,-86.8,0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:41:00,VC6M6019,,2024-12-07 12:41:28.812,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 12:48:00,VC6M6019,,2024-12-07 12:48:39.094,,,,37.288166,126.828954,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
