device_datetime,device_datetime_kor,device_serial,lat,lon,battery,temperature,humidity,shock,acc,tiltx,tilty,tiltz,measure_date_kst,aws_station_id,aws_station_name,aws_lat,aws_lon,ws1,ws10,ta,hm
2024-12-07 09:28:49,2024-12-07 18:28:49,VC6M6019,37.288166,126.828954,100.0,2.6,46.0,0.0,1.0,-2.6,-87.4,-0.3,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:38:49,2024-12-07 18:38:49,VC6M6019,37.288166,126.828954,100.0,2.3,47.0,0.0,1.0,-3.1,-86.9,0.3,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:41:00,2024-12-07 18:41:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:48:00,2024-12-07 18:48:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:48:49,2024-12-07 18:48:49,VC6M6019,37.288166,126.828954,100.0,2.3,46.0,0.0,1.0,-2.8,-87.1,0.4,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 09:58:49,2024-12-07 18:58:49,VC6M6019,37.288166,126.828954,100.0,2.0,47.0,0.0,1.0,-3.0,-86.9,0.3,2024-12-07 18:00:00,545,안산,37.28103,126.83848,1.0,0.9,1.4,57.1
2024-12-07 10:01:00,2024-12-07 19:01:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:08:00,2024-12-07 19:08:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:08:49,2024-12-07 19:08:49,VC6M6019,37.288166,126.828954,100.0,2.0,47.0,0.0,1.0,-3.0,-87.0,0.4,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:18:49,2024-12-07 19:18:49,VC6M6019,37.288166,126.828954,100.0,1.7,47.0,0.0,1.0,-3.1,-86.9,0.5,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:21:00,2024-12-07 19:21:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:28:00,2024-12-07 19:28:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:28:49,2024-12-07 19:28:49,VC6M6019,37.288166,126.828954,100.0,1.8,47.0,0.0,1.0,-3.7,-86.2,0.4,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:38:49,2024-12-07 19:38:49,VC6M6019,37.288166,126.828954,100.0,1.5,47.0,0.0,1.0,-3.3,-86.7,0.4,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:41:00,2024-12-07 19:41:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:48:00,2024-12-07 19:48:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:48:49,2024-12-07 19:48:49,VC6M6019,37.288166,126.828954,100.0,1.6,47.0,0.0,1.0,-3.3,-86.7,0.5,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 10:58:49,2024-12-07 19:58:49,VC6M6019,37.288166,126.828954,100.0,1.4,47.0,0.0,1.0,-3.5,-86.5,0.4,2024-12-07 19:00:00,545,안산,37.28103,126.83848,1.6,1.2,1.1,52.8
2024-12-07 11:01:00,2024-12-07 20:01:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:08:00,2024-12-07 20:08:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:08:49,2024-12-07 20:08:49,VC6M6019,37.288166,126.828954,100.0,1.5,47.0,0.0,1.0,-3.0,-86.9,0.3,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:18:49,2024-12-07 20:18:49,VC6M6019,37.288166,126.828954,100.0,1.2,47.0,0.0,1.0,-3.7,-86.2,0.5,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:21:00,2024-12-07 20:21:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:28:00,2024-12-07 20:28:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:28:49,2024-12-07 20:28:49,VC6M6019,37.288166,126.828954,100.0,1.3,47.0,0.0,1.0,-3.8,-86.1,0.5,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:38:49,2024-12-07 20:38:49,VC6M6019,37.288166,126.828954,100.0,1.0,47.0,0.0,1.0,-3.1,-86.9,0.5,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:41:00,2024-12-07 20:41:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:48:00,2024-12-07 20:48:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:48:49,2024-12-07 20:48:49,VC6M6019,37.288166,126.828954,100.0,1.1,47.0,0.0,1.0,-3.3,-86.7,0.5,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 11:58:49,2024-12-07 20:58:49,VC6M6019,37.288166,126.828954,100.0,0.8,47.0,0.0,1.0,-3.5,-86.5,0.5,2024-12-07 20:00:00,545,안산,37.28103,126.83848,0.2,0.5,0.5,61.0
2024-12-07 12:01:00,2024-12-07 21:01:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:08:00,2024-12-07 21:08:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:08:49,2024-12-07 21:08:49,VC6M6019,37.288166,126.828954,100.0,0.9,47.0,0.0,1.0,-3.3,-86.7,0.5,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:18:49,2024-12-07 21:18:49,VC6M6019,37.288166,126.828954,100.0,0.7,48.0,0.0,1.0,-3.5,-86.5,0.5,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:21:00,2024-12-07 21:21:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:28:00,2024-12-07 21:28:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:28:49,2024-12-07 21:28:49,VC6M6019,37.288166,126.828954,100.0,0.7,47.0,0.0,1.0,-3.0,-86.9,0.4,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:38:49,2024-12-07 21:38:49,VC6M6019,37.288166,126.828954,100.0,0.5,48.0,0.0,1.0,-3.2,-86.8,0.5,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:41:00,2024-12-07 21:41:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:48:00,2024-12-07 21:48:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:48:49,2024-12-07 21:48:49,VC6M6019,37.288166,126.828954,100.0,0.6,47.0,0.0,1.0,-3.4,-86.6,0.5,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 12:58:49,2024-12-07 21:58:49,VC6M6019,37.288166,126.828954,100.0,0.3,48.0,0.0,1.0,-3.2,-86.8,0.4,2024-12-07 21:00:00,545,안산,37.28103,126.83848,1.3,0.5,0.1,59.8
2024-12-07 13:01:00,2024-12-07 22:01:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:08:00,2024-12-07 22:08:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:08:49,2024-12-07 22:08:49,VC6M6019,37.288166,126.828954,100.0,0.4,47.0,0.0,1.0,-3.4,-86.6,0.5,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:18:49,2024-12-07 22:18:49,VC6M6019,37.288166,126.828954,100.0,0.1,48.0,0.0,1.0,-3.7,-86.2,0.4,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:21:00,2024-12-07 22:21:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:28:00,2024-12-07 22:28:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:28:49,2024-12-07 22:28:49,VC6M6019,37.288166,126.828954,100.0,0.1,48.0,0.0,1.0,-3.4,-86.6,0.5,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:38:49,2024-12-07 22:38:49,VC6M6019,37.288166,126.828954,100.0,0.0,48.0,0.0,1.0,-3.6,-86.3,0.5,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:41:00,2024-12-07 22:41:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:48:00,2024-12-07 22:48:00,VC6M6019,37.288166,126.828954,100.0,,,,,,,,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:48:49,2024-12-07 22:48:49,VC6M6019,37.288166,126.828954,100.0,0.4,47.0,0.0,1.0,-4.1,-85.9,0.4,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 13:58:49,2024-12-07 22:58:49,VC6M6019,37.288166,126.828954,100.0,0.0,48.0,0.0,1.0,-3.7,-86.2,0.4,2024-12-07 22:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.0,59.7
2024-12-07 14:01:00,2024-12-07 23:01:00,VC6M6019,37.292079,126.835119,100.0,,,,,,,,2024-12-07 23:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.1,60.3
2024-12-07 14:08:00,2024-12-07 23:08:00,VC6M6019,37.292079,126.835119,100.0,,,,,,,,2024-12-07 23:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.1,60.3
2024-12-07 14:08:49,2024-12-07 23:08:49,VC6M6019,37.292079,126.835119,100.0,0.0,47.0,0.0,1.0,-3.5,-86.5,0.5,2024-12-07 23:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.1,60.3
2024-12-07 14:18:49,2024-12-07 23:18:49,VC6M6019,37.292079,126.835119,100.0,-0.4,48.0,0.0,1.0,-3.4,-86.6,0.3,2024-12-07 23:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.1,60.3
2024-12-07 14:21:00,2024-12-07 23:21:00,VC6M6019,37.2894,126.828599,100.0,,,,,,,,2024-12-07 23:00:00,545,안산,37.28103,126.83848,0.1,0.3,-1.1,60.3
